Model,Computation,Epochs,Hidden Channels,Learning Rate,Weight Decay,Dropout Rate,Loss,Accuracy,Precision,Recall,F1
GraphSAGE,3m 58s,500,64,0.005383635918173124,0.0004099183851596568,0.11808813143887338,0.2384660840034485,0.8622187129885511,0.771948608137045,0.8413068844807468,0.8051367950865439
GraphSAGE,3m 47s,480,64,0.0058707349816293514,0.0001303265185661174,0.08585975801098884,0.22208049893379211,0.8756415317804974,0.8456632653061225,0.7736289381563594,0.8080438756855576
GraphSAGE,3m 42s,470,64,0.006665922577242273,0.00045095741892044617,0.08581328838352184,0.224771186709404,0.8622187129885511,0.7886363636363637,0.809801633605601,0.7990788716177318
GraphSAGE,3m 15s,413,64,0.005733437815875161,0.00012991526114252826,0.022047249256538694,0.17762567102909088,0.8614291354125543,0.8346560846560847,0.7362893815635939,0.782393056416615
GraphSAGE,3m 56s,500,64,0.0059713199135808855,7.66386321581802e-05,0.12540532647368924,0.22844699025154114,0.8720884326885117,0.8246041412911084,0.7899649941656943,0.8069129916567342
GraphSAGE,2m 11s,277,64,0.005529835246042141,0.00020382461461246573,0.06925873110922033,0.24005267024040222,0.8681405448085274,0.8248447204968944,0.7747957992998833,0.7990373044524669
GraphSAGE,2m 21s,299,64,0.005819435093785547,0.00010721391856175066,0.35707909694069295,0.29469865560531616,0.8503750493485985,0.7463917525773196,0.8448074679113186,0.7925561029009305
GraphSAGE,3m 45s,476,64,0.006200524332951421,0.0002997847131097045,0.005734133842408353,0.14940957725048065,0.8566916699565732,0.8383561643835616,0.7141190198366394,0.771266540642722
GraphSAGE,2m 1s,258,64,0.004212904275096023,9.680595661347896e-05,1.0117110446117297e-05,0.21415886282920837,0.8432688511646269,0.8938356164383562,0.6091015169194866,0.7244968771686329
GraphSAGE,3m 23s,428,64,0.006041353891834251,0.0001796878525731762,0.09009862751471884,0.23192007839679718,0.8693249111725228,0.7955056179775281,0.8261376896149358,0.8105323411562679
GraphSAGE,2m 38s,333,64,0.007563368714382095,0.00022619782390059125,0.03849457717481012,0.2259523570537567,0.8701144887485195,0.8180722891566266,0.7922987164527421,0.8049792531120331
GraphSAGE,3m 46s,473,64,0.004389671735122811,0.0001677685430848697,0.2331979726958899,0.2616567313671112,0.8645874457165417,0.8220551378446115,0.7654609101516919,0.7927492447129909
GraphSAGE,3m 56s,500,64,0.005856286194956874,0.00016590073189922354,0.3088675463274934,0.2775382995605469,0.8712988551125148,0.8202653799758746,0.793465577596266,0.8066429418742586
GraphSAGE,3m 44s,477,64,0.00935220642965329,9.243097937034492e-05,0.09046240095012159,0.21666327118873596,0.8641926569285432,0.7972190034762456,0.8028004667444574,0.8
GraphSAGE,3m 55s,500,64,0.001562353169022175,0.0004258638190162781,0.3999784974490006,0.30258673429489136,0.8503750493485985,0.7649667405764967,0.8051341890315052,0.7845366685616828
GraphSAGE,3m 20s,426,64,0.008728972618803748,0.00014603069148520043,0.09164717256855612,0.23272961378097534,0.8732727990525069,0.8316831683168316,0.7841306884480747,0.8072072072072072
GraphSAGE,3m 56s,500,64,0.001002901951459009,6.59135600862563e-05,0.0864884613128607,0.2556028962135315,0.87248322147651,0.8248175182481752,0.7911318553092183,0.8076235854675402
GraphSAGE,2m 42s,343,64,0.007910536443273379,0.0004972381085419128,0.10214520492426177,0.25611820816993713,0.863008290564548,0.8028503562945368,0.7887981330221704,0.7957622130665096
GraphSAGE,2m 52s,364,64,0.009906472169883843,0.0004839871983812407,0.2674138100849488,0.29035070538520813,0.8456375838926175,0.7353535353535353,0.8494749124854143,0.7883053600433135
GraphSAGE,3m 57s,500,64,0.001019742260979682,0.0003323386136949085,0.24947699060561385,0.2822940945625305,0.8641926569285432,0.782800441014333,0.8284714119019837,0.8049886621315193
GraphSAGE,2m 12s,280,64,0.0031299831808354697,0.0003868224603564974,0.39998158386692984,0.306598424911499,0.8503750493485985,0.767337807606264,0.8004667444574096,0.7835522558537978
GraphSAGE,3m 39s,466,64,0.004739065712329156,0.00032920373942622817,0.29125255563232694,0.2758508324623108,0.8618239242005526,0.7782656421514819,0.8273045507584598,0.8020361990950227
GraphSAGE,3m 19s,424,64,0.009509601124470943,0.00039407050815765013,3.003904805489733e-05,0.21105986833572388,0.840505329648638,0.911070780399274,0.5857642940490082,0.7130681818181819
GraphSAGE,3m 56s,500,64,0.0014551726286579358,8.090312368778214e-05,0.31377801625438,0.2874620258808136,0.8566916699565732,0.7726269315673289,0.8168028004667445,0.7941009642654566
GraphSAGE,2m 38s,336,64,0.009304224892983385,0.000152576307255817,2.7807122789180746e-05,0.24594473838806152,0.8551125148045795,0.804726368159204,0.7549591598599766,0.7790487658037327
GraphSAGE,3m 43s,471,64,0.0031397539912689713,0.0002458999715204063,2.7342086533632687e-05,0.19844338297843933,0.8586656138965654,0.764021164021164,0.8424737456242707,0.8013318534961155
GraphSAGE,4m 1s,500,64,0.009990509020942326,7.221648671405459e-05,0.09963924035653596,0.22529113292694092,0.86498223450454,0.7783783783783784,0.8401400233372228,0.8080808080808082
GraphSAGE,4m 3s,500,64,0.003345089350042017,5.0499812494373504e-05,0.15128610278034085,0.23898808658123016,0.8681405448085274,0.8080094228504122,0.8004667444574096,0.8042203985932005
GraphSAGE,3m 14s,409,64,0.009176921941285547,5.9645761540058054e-05,0.39942251278622715,0.2990945875644684,0.8602447690485591,0.7772877618522602,0.822637106184364,0.7993197278911565
GraphSAGE,3m 28s,438,64,0.0012032943702468023,0.0004987319439130629,0.04750032308011131,0.2361915111541748,0.8716936439005132,0.8367088607594937,0.7712952158693116,0.8026715239829995
