,id,count,tracking,binary_tracker,prediction
18755,cdn-jp.gsecondscreen.com,4,1.0,1,0.0
18756,xds.gsecondscreen.com,1,1.0,1,0.0
18825,s-ad.rmp.rakuten.co.jp,4,0.0,0,1.0
18991,t.ifvox.com,2,1.0,1,0.0
18996,api-product.kameleoon.com,1,1.0,1,0.0
18999,api.early-birds.fr,2,0.5,1,0.0
19194,scripts.ninjacat.io,1,1.0,1,0.0
19279,comments.rambler.ru,1,0.0,0,1.0
19280,static.rnet.plus,1,1.0,1,0.0
19337,delivery.1tag.dentsu.de,2,0.0,0,1.0
19429,ma.zoho.com,2,0.0,0,1.0
19449,adshoper.com,1,1.0,1,0.0
19557,urlbi.com,5,0.4,0,1.0
19577,www.trumba.com,6,0.0,0,1.0
19735,feedback.smg.com,5,0.0,0,1.0
19797,statics.creativecdn.com,1,1.0,1,0.0
19824,6.at.atwola.com,7,1.0,1,0.0
19834,smart-ads.statsperformdev.com,1,1.0,1,0.0
19837,spt.performgroup.com,2,0.0,0,1.0
19842,orange.contentsfeed.com,5,1.0,1,0.0
19874,entry.zeddit.com,1,0.0,0,1.0
19945,api.dmcdn.net,5,0.0,0,1.0
19947,pzapi-nb.com,1,0.0,0,1.0
19968,d2lcoyv3ods5zz.cloudfront.net,1,0.0,0,1.0
20022,scripts.psyma.com,2,1.0,1,0.0
20041,d3.btttag.com,2,1.0,1,0.0
20098,report.najva.com,1,1.0,1,0.0
20118,cdn.trafficbass.com,2,1.0,1,0.0
20148,apiadapter.ad5track.com,1,1.0,1,0.0
20173,bbs.pc.keiba.findfriends.jp,3,0.0,0,1.0
20261,static.nrk.no,2,0.5,1,0.0
20344,khn.crowdad.io,3,0.3333333333333333,0,1.0
20370,adx.com.ru,3,1.0,1,0.0
20371,sync.viadata.store,1,0.0,0,1.0
20395,m.zmctrack.net,2,1.0,1,0.0
20494,api.ematicsolutions.com,1,1.0,1,0.0
20553,uci.starbug.vpsvc.com,1,0.0,0,1.0
20565,www.sandbox.paypal.com,2,1.0,1,0.0
20671,f.convertkit.com,2,0.0,0,1.0
20677,imptrack.intoday.in,2,1.0,1,0.0
20836,vfhbo3jsnvrutdkuee1akd0lj.litix.io,4,1.0,1,0.0
20853,betcity.cdn.adglare.net,2,1.0,1,0.0
20930,terrifictooth.com,2,1.0,1,0.0
20962,atsc.activetrail.com,1,0.0,0,1.0
20970,03.cdn.mediatradecraft.com,1,0.0,0,1.0
21012,patithatspartal.pro,1,1.0,1,0.0
21015,configusa.veinteractive.com,4,1.0,1,0.0
21064,profusesupport.com,1,1.0,1,0.0
21097,d27d6588a8d3ze.cloudfront.net,2,0.5,1,0.0
21100,cdn.smartclip-services.com,6,1.0,1,0.0
21143,src.litix.io,2,1.0,1,0.0
21159,www.goftino.com,1,0.0,0,1.0
21198,cdn-loyalty.yotpo.com,1,0.0,0,1.0
21210,m23ickptwwbbjqktx.ay.delivery,3,1.0,1,0.0
21223,network-solutions.7eer.net,1,1.0,1,0.0
21249,rum-cdn.perfops.net,1,1.0,1,0.0
21409,glirsoss.com,2,1.0,1,0.0
21481,pr.realvu.net,1,1.0,1,0.0
21496,s-vop.sundaysky.com,2,0.0,0,1.0
21504,googleads.github.io,2,1.0,1,0.0
21539,addresseepaper.com,1,1.0,1,0.0
21598,cdn.gsght.com,2,0.0,0,1.0
21601,cdn.geocomply.com,1,0.0,0,1.0
21609,stackpile.io,2,0.0,0,1.0
21642,doujinlist.com,3,0.0,0,1.0
21690,kayofthejungle.com,1,0.0,0,1.0
21722,api-cbc-v3.conductrics.com,4,1.0,1,0.0
21841,wt.viagogo.net,3,0.0,0,1.0
21881,spexjs.com,1,0.0,0,1.0
22020,tracking.vnncdn.net,1,0.0,0,1.0
22104,track.attributionapp.com,2,1.0,1,0.0
22108,kcs.deqwas.net,12,1.0,1,0.0
22169,embed.secondstreetapp.com,1,0.0,0,1.0
22181,us-central1-kube-ownlocal.cloudfunctions.net,1,0.0,0,1.0
22217,bid.atmtd.com,1,0.0,0,1.0
22394,ascpqnj-oam.global.ssl.fastly.net,3,1.0,1,0.0
