l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
2,2,1,max,sageconv,175,0.2921,0.0048,6469.0,1.3052,0.0606,0.8672,0.0041,0.8066,0.0061,0.7796,0.0069,0.7929,0.0065,0.9422,0.0023
2,2,1,mean,gatconv,183,0.322,0.0054,4549.0,1.9526,0.0736,0.8437,0.0038,0.7678,0.0091,0.7466,0.0,0.757,0.0045,0.9258,0.003
2,2,1,mean,gcnconv,188,0.3157,0.0031,4421.0,1.2814,0.0332,0.8497,0.0036,0.765,0.0067,0.778,0.0031,0.7714,0.005,0.9298,0.0021
2,2,1,mean,sageconv,175,0.2921,0.0048,6469.0,1.2443,0.0849,0.8672,0.0041,0.8066,0.0061,0.7796,0.0069,0.7929,0.0065,0.9422,0.0023
2,2,2,add,gatconv,188,0.3406,0.0027,5605.0,1.9338,0.1365,0.8361,0.003,0.7588,0.0176,0.7308,0.0192,0.7441,0.0015,0.9192,0.0012
2,2,2,add,gcnconv,180,0.3345,0.0014,5477.0,1.3931,0.1192,0.8481,0.0003,0.77,0.0003,0.7617,0.002,0.7658,0.0009,0.9259,0.0004
2,2,2,add,sageconv,190,0.3043,0.0016,7525.0,1.3401,0.1376,0.867,0.0031,0.8038,0.0088,0.7836,0.0014,0.7936,0.0036,0.9406,0.0011
2,2,2,max,gatconv,188,0.3406,0.0027,5605.0,1.9,0.008,0.8361,0.003,0.7588,0.0176,0.7308,0.0192,0.7441,0.0015,0.9192,0.0012
2,2,2,max,gcnconv,180,0.3345,0.0014,5477.0,1.4969,0.2432,0.8481,0.0003,0.77,0.0003,0.7617,0.002,0.7658,0.0009,0.9259,0.0004
2,2,2,max,sageconv,190,0.3043,0.0016,7525.0,1.3868,0.019,0.867,0.0031,0.8038,0.0088,0.7836,0.0014,0.7936,0.0036,0.9406,0.0011
2,2,2,mean,gatconv,188,0.3406,0.0027,5605.0,2.0479,0.0459,0.8361,0.003,0.7588,0.0176,0.7308,0.0192,0.7441,0.0015,0.9192,0.0012
2,2,2,mean,gcnconv,180,0.3345,0.0014,5477.0,1.5558,0.0994,0.8481,0.0003,0.77,0.0003,0.7617,0.002,0.7658,0.0009,0.9259,0.0004
2,2,2,mean,sageconv,190,0.3043,0.0016,7525.0,1.5035,0.0339,0.867,0.0031,0.8038,0.0088,0.7836,0.0014,0.7936,0.0036,0.9406,0.0011
2,3,1,add,gatconv,199,0.336,0.0013,5702.0,2.1622,0.0264,0.833,0.0011,0.7466,0.0032,0.7382,0.0118,0.7423,0.0044,0.9172,0.0001
2,3,1,add,gcnconv,186,0.3278,0.002,5510.0,1.7152,0.1114,0.8403,0.0031,0.7524,0.0086,0.7608,0.003,0.7565,0.0028,0.9232,0.0015
2,3,1,add,sageconv,197,0.2902,0.0018,8582.0,1.8209,0.0142,0.867,0.0016,0.8095,0.0049,0.7743,0.001,0.7915,0.0018,0.9424,0.0005
2,3,1,max,gatconv,199,0.336,0.0013,5702.0,2.7636,0.0208,0.833,0.0011,0.7466,0.0032,0.7382,0.0118,0.7423,0.0044,0.9172,0.0001
2,3,1,max,gcnconv,186,0.3278,0.002,5510.0,1.6914,0.0701,0.8403,0.0031,0.7524,0.0086,0.7608,0.003,0.7565,0.0028,0.9232,0.0015
2,3,1,max,sageconv,197,0.2902,0.0018,8582.0,1.6874,0.1168,0.867,0.0016,0.8095,0.0049,0.7743,0.001,0.7915,0.0018,0.9424,0.0005
2,3,1,mean,gatconv,199,0.336,0.0013,5702.0,2.5948,0.0736,0.833,0.0011,0.7466,0.0032,0.7382,0.0118,0.7423,0.0044,0.9172,0.0001
2,3,1,mean,gcnconv,186,0.3278,0.002,5510.0,1.8233,0.0314,0.8403,0.0031,0.7524,0.0086,0.7608,0.003,0.7565,0.0028,0.9232,0.0015
2,3,1,mean,sageconv,197,0.2902,0.0018,8582.0,1.861,0.0796,0.867,0.0016,0.8095,0.0049,0.7743,0.001,0.7915,0.0018,0.9424,0.0005
2,3,2,add,gatconv,199,0.3528,0.001,6758.0,2.5202,0.2815,0.8284,0.002,0.7373,0.0038,0.7362,0.0178,0.7366,0.007,0.9104,0.0005
2,3,2,add,gcnconv,133,0.3454,0.0091,6566.0,1.4486,0.5087,0.8378,0.0068,0.7496,0.0118,0.7546,0.0074,0.752,0.0097,0.9168,0.0057
2,3,2,add,sageconv,186,0.3074,0.002,9638.0,1.5446,0.1755,0.8635,0.0022,0.8044,0.0017,0.768,0.0062,0.7857,0.004,0.9388,0.0013
2,3,2,max,gatconv,199,0.3528,0.001,6758.0,1.5549,0.578,0.8284,0.002,0.7373,0.0038,0.7362,0.0178,0.7366,0.007,0.9104,0.0005
2,3,2,max,gcnconv,133,0.3454,0.0091,6566.0,1.2961,0.6832,0.8378,0.0068,0.7496,0.0118,0.7546,0.0074,0.752,0.0097,0.9168,0.0057
2,3,2,max,sageconv,186,0.3074,0.002,9638.0,1.1856,0.2888,0.8635,0.0022,0.8044,0.0017,0.768,0.0062,0.7857,0.004,0.9388,0.0013
2,3,2,mean,gatconv,199,0.3528,0.001,6758.0,0.975,0.3124,0.8284,0.002,0.7373,0.0038,0.7362,0.0178,0.7366,0.007,0.9104,0.0005
2,3,2,mean,gcnconv,133,0.3454,0.0091,6566.0,1.1005,0.5177,0.8378,0.0068,0.7496,0.0118,0.7546,0.0074,0.752,0.0097,0.9168,0.0057
2,3,2,mean,sageconv,186,0.3074,0.002,9638.0,0.4744,0.058,0.8635,0.0022,0.8044,0.0017,0.768,0.0062,0.7857,0.004,0.9388,0.0013
