l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
2,3,1,max,sageconv,177,0.2866,0.0016,8582.0,1.9123,0.0592,0.87,0.0001,0.818,0.0019,0.7735,0.0021,0.7951,0.0002,0.9438,0.0004
2,3,1,mean,gatconv,168,0.3335,0.0025,5702.0,2.6164,0.0707,0.8348,0.0002,0.7486,0.0035,0.7428,0.0083,0.7456,0.0024,0.919,0.0009
2,3,1,mean,gcnconv,180,0.3246,0.0016,5510.0,1.7163,0.0331,0.8408,0.0029,0.7538,0.0059,0.7602,0.0012,0.757,0.0035,0.9248,0.0012
2,3,1,mean,sageconv,177,0.2866,0.0016,8582.0,1.8521,0.0736,0.87,0.0001,0.818,0.0019,0.7735,0.0021,0.7951,0.0002,0.9438,0.0004
2,3,2,add,gatconv,189,0.351,0.0008,6758.0,2.1896,0.0504,0.8292,0.0005,0.7396,0.0081,0.7355,0.0195,0.7373,0.0058,0.9115,0.0008
2,3,2,add,gcnconv,193,0.3386,0.0023,6566.0,1.3818,0.4419,0.8414,0.003,0.7535,0.0078,0.7636,0.0016,0.7586,0.0032,0.9208,0.0017
2,3,2,add,sageconv,182,0.3032,0.001,9638.0,1.838,0.1845,0.8677,0.0004,0.8141,0.0033,0.7702,0.0063,0.7915,0.0018,0.941,0.0005
2,3,2,max,gatconv,189,0.351,0.0008,6758.0,1.5561,0.7581,0.8292,0.0005,0.7396,0.0081,0.7355,0.0195,0.7373,0.0058,0.9115,0.0008
2,3,2,max,gcnconv,193,0.3386,0.0023,6566.0,0.955,0.342,0.8414,0.003,0.7535,0.0078,0.7636,0.0016,0.7586,0.0032,0.9208,0.0017
2,3,2,max,sageconv,182,0.3032,0.001,9638.0,1.2035,0.3617,0.8677,0.0004,0.8141,0.0033,0.7702,0.0063,0.7915,0.0018,0.941,0.0005
2,3,2,mean,gatconv,189,0.351,0.0008,6758.0,0.9808,0.3845,0.8292,0.0005,0.7396,0.0081,0.7355,0.0195,0.7373,0.0058,0.9115,0.0008
2,3,2,mean,gcnconv,193,0.3386,0.0023,6566.0,0.6661,0.0833,0.8414,0.003,0.7535,0.0078,0.7636,0.0016,0.7586,0.0032,0.9208,0.0017
2,3,2,mean,sageconv,182,0.3032,0.001,9638.0,0.7771,0.2758,0.8677,0.0004,0.8141,0.0033,0.7702,0.0063,0.7915,0.0018,0.941,0.0005
